2021-04-23 14:13:43,839  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:13:43,839  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:13:45,781  INFO | http-nio-8893-exec-2 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:13:45,781  INFO | http-nio-8893-exec-2 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:14:15,484  INFO | http-nio-8893-exec-3 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:14:15,485  INFO | http-nio-8893-exec-3 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:14:17,761  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:14:17,761  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:14:27,190  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:14:27,190  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:14:43,944  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:14:43,944  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
